project_id,country,project_name,commitment_usd,weighted_commitment_usd,n_docs_scanned,lead_metal_keyword_hits,lead_rows_in_tables,real_lead_water_rows,lead_table_classes,verdict
P181702,Ghana,Second Additional Financing to GAMA Sanitation and Water Project,30000000,4500000,3,10,5,3,drinking;effluent;groundwater;surface,baseline-drinking
P514166,Comoros,"Comoros - Accelerated Access to Water, Sanitation and Hygiene (WASH) MPA",29000000,13920000,8,0,0,0,,absent
P181064,Belize,Belize Blue Cities and Beyond Project,23500000,1410000,11,1,0,0,,mentioned
P507115,"Somalia, Federal Republic of",Barwaaqo - Somalia Water for Rural Resilience Project,18300000,17751000,0,0,0,0,,no-docs
P512157,Lesotho,Lesotho Lowlands Water Development Project - Phase II,17800000,17800000,0,0,0,0,,no-docs
P508033,Tanzania,Second Tanzania Water Sector Support Project,13900000,2641000,0,0,0,0,,no-docs
P507148,Lesotho,Lesotho Lowlands Water Development Project - Phase II,12200000,5124000,0,0,0,0,,no-docs
P506439,Eastern and Southern Africa,"Accelerating Access to Water, Sanitation and Hygiene in the Eastern and Southern Africa Region",10000000,2200000,13,0,0,0,,absent
P511194,Eswatini,Kingdom of Eswatini: Water Supply and Sanitation Access Project,8000000,8000000,0,0,0,0,,no-docs
P509144,Comoros,Comoros National Water Resilience Project,5000000,2800000,0,0,0,0,,no-docs
P509563,Kyrgyz Republic,Kyrgyz Republic: Rural Sanitation and Fecal Sludge Management Project,4730000,788333,2,0,0,0,,absent
P509605,Mali,Community Action for Resilient Education,4100000,683333,2,0,0,0,,absent
